Phoneme1,Phoneme2,EuclideanDistance
IY,N,2.449489742783178
IY,NG,4.242640687119285
IY,L,2.6457513110645907
IY,R,2.8722813232690143
IY,Y,3.872983346207417
IY,W,2.449489742783178
IH,OW,2.2715633383201093
IH,OY,1.3190905958272918
IH,UW,2.2561028345356955
IH,UH,2.23606797749979
IH,P,1.972308292331602
IH,B,2.211334438749598
IH,T,2.808914381037628
IH,D,2.981610303175115
IH,K,4.459820624195552
IH,G,4.570557952810575
IH,CH,3.3823069050575527
IH,JH,3.5270384177096794
IH,F,1.57797338380595
IH,V,1.8681541692269403
IH,TH,2.3430749027719964
IH,DH,2.5475478405713994
IH,S,2.3430749027719964
IH,Z,2.5475478405713994
IH,SH,3.2388269481403293
IH,ZH,3.3896902513356584
IH,HH,5.146843692983108
IH,M,1.445683229480096
IH,N,2.467792535850613
IH,NG,4.253234063627348
IH,L,2.7730849247724096
IH,R,3.0397368307141326
IH,Y,4.036087214122113
IH,W,2.6999999999999997
OW,OY,1.1575836902790226
OW,UW,0.7
OW,UH,0.3999999999999999
OW,P,2.7730849247724096
OW,B,2.5865034312755126
OW,T,1.9209372712298547
OW,D,1.6401219466856727
OW,K,2.7730849247724096
OW,G,2.5865034312755126
OW,CH,1.9078784028338913
OW,JH,1.624807680927192
OW,F,1.7578395831246945
OW,V,1.445683229480096
OW,TH,1.445683229480096
OW,DH,1.044030650891055
OW,S,1.445683229480096
OW,Z,1.044030650891055
OW,SH,1.7578395831246945
OW,ZH,1.445683229480096
OW,HH,3.3301651610693423
OW,M,2.3430749027719964
OW,N,1.2206555615733703
OW,NG,2.3430749027719964
OW,L,1.972308292331602
OW,R,2.4166091947189146
OW,Y,3.047950130825634
OW,W,3.505709628591621
OY,UW,1.5
OY,UH,1.3190905958272918
OY,P,1.8027756377319946
OY,B,1.8027756377319946
OY,T,1.8027756377319946
OY,D,1.8027756377319946
OY,K,3.3541019662496847
OY,G,3.3541019662496847
OY,CH,2.345207879911715
OY,JH,2.345207879911715
OY,F,1.118033988749895
OY,V,1.118033988749895
OY,TH,1.5
OY,DH,1.5
OY,S,1.5
OY,Z,1.5
OY,SH,2.29128784747792
OY,ZH,2.29128784747792
OY,HH,4.153311931459037
OY,M,1.8027756377319946
OY,N,1.8027756377319946
OY,NG,3.3541019662496847
OY,L,2.5
OY,R,2.9154759474226504
OY,Y,3.774917217635375
OY,W,3.3541019662496847
UW,UH,0.30000000000000004
UW,P,3.1622776601683795
UW,B,3.0
UW,T,2.449489742783178
UW,D,2.23606797749979
UW,K,3.1622776601683795
UW,G,3.0
UW,CH,2.29128784747792
UW,JH,2.0615528128088303
UW,F,2.0
UW,V,1.7320508075688772
UW,TH,1.7320508075688772
UW,DH,1.4142135623730951
UW,S,1.7320508075688772
UW,Z,1.4142135623730951
UW,SH,2.0
UW,ZH,1.7320508075688772
UW,HH,3.4641016151377544
UW,M,2.23606797749979
UW,N,1.0
UW,NG,2.23606797749979
UW,L,1.4142135623730951
UW,R,1.8027756377319946
UW,Y,2.449489742783178
UW,W,3.0
UH,P,2.981610303175115
UH,B,2.808914381037628
UH,T,2.211334438749598
UH,D,1.972308292331602
UH,K,2.981610303175115
UH,G,2.808914381037628
UH,CH,2.1071307505705477
UH,JH,1.8547236990991407
